Key,Translation
LegacyDialog.177,"Use your pickaxe to dig, and your axe to chop! It's pretty easy, just hold your tool and swing."
LegacyDialog.178,I recommend gathering some wood from the trees around you. Making shelter and some better weapons should be your first priority!
LegacyDialog.179,"You got enough wood, right? about 10 pieces? Why don't you make yourself a work bench? It's a bit of navigation work but I trust you can do it! And it'll make crafting more complicated things much easier."
LegacyDialog.180,"To build a good bit of shelter, grab the blocks you got right now and make a house about 12 feet tall and 20 feet wide. Don't forget to add walls, a table and a chair."
LegacyDialog.181,"If I remember correctly, slimes are pretty flammable... You could definitely make some torches by lighting up their gel on some wood."
LegacyDialog.182,"Some walls are pesky, aren't they? You can't get rid of them with your pickaxe or axe... So, next best thing, it's hammer time!"
LegacyDialog.183,"Wood is great and all, but it's not really the best out there. There's some ore underground that can help you make better tools"
LegacyDialog.184,"Well, you got ore, that's a step in the right direction! Now you can them into some bars, but this needs a furnace."
LegacyDialog.185,"20 bits of stone, 4 wood and 3 torches should do it to make a good furnace! Though it's a bit complicated by hand... That work bench you made should come in handy."
LegacyDialog.186,"Now that you got your bars, you might want to mold them into something better. But this requires an anvil. Don't wanna break your work bench..."
LegacyDialog.187,5 iron or lead bars should be enough to make an anvil. Or you could buy one from a Merchant if you have the money.
GuideHelpText.Help_1064,"When the moon goes red, the water goes all red and bloody for some reason... That also makes things inside get aggressive. I don't recommend fishing during that time."
LegacyDialog.188,"I see you're lacking a little... Life. Don't worry! Underground, there are these magical heart-shaped crystals that energise anyone who touches them! But they shatter after use, so... You might need more."
LegacyDialog.189,"Looking into magic? At your current state, I don't think you could do much. But, at night, magical stars fall from the sky. Grab 5 of them and combine them, and you'll be able to harness their magic for yourself!"
LegacyDialog.190,"The magical stars that fall from the sky are pretty and all, but do make sure to collect them! You never know when they might be useful for more than magic. But they disappear when in contact with the sun so I recommend you keep them in a chest."
GuideHelpText.Help_1063,"I've done a lot of research about the Old One's Army, but it seems {Bartender} really wants to be the one to teach you. Go ask them about it."
LegacyDialog.191,"There are more people around than just you and I, {PlayerName}, I'm sure of it. But we'll need to attract them here in some way... I wonder..."
LegacyDialog.192,"For more people to move in, they'll of course need a home. As a reminder, they need to be at least 12 feet tall and 20 feet wide. Having a table and chair, a light source and walls."
LegacyDialog.193,"As much as roommates would be fun... Or annoying. People here might not want to live in the same home as others, so make sure to make one for everyone."
LegacyDialog.194,"You can assign people's homes yourself! That'll make it their definitive home, and they'll move back there even if they leave for a bit."
GuideHelpText.Help_1065,"Not only can you assign people's homes, you can also evict them for whatever reason. Just... Be nice about it."
LegacyDialog.195,"Merchants love money. And for one to come along, you'll need money. I say... 50 silver coins should be enough."
LegacyDialog.196,"Remember those heart-shaped crystals I talked about before? If you want a nurse to move in, you should go looking for those."
LegacyDialog.197,I've watched a few movies... Maybe an arms dealer might move in if you had a gun? Pretty sure you can find one in the Jungle or from our evil biome.
LegacyDialog.198,"There are strong monsters out there. Really big ones. You might want to prep up before fighting one. On another note, I've heard of an extinct race of terrarians that nearly defeated one giant monster long ago... I wonder what became of the lone survivor?"
