Key,Translation
GuideNames.Andrew,Lucina
GuideNames.Asher,Lucy
GuideNames.Bradley,Lucy
GuideNames.Brandon,Lucy
GuideNames.Brett,Lucy
GuideNames.Brian,Lucy
GuideNames.Cody,Lucy
GuideNames.Cole,Lucy
GuideNames.Colin,Lucy
GuideNames.Connor,Lucy
GuideNames.Daniel,Lucy
GuideNames.Dylan,Lucy
GuideNames.Garrett,Lucy
GuideNames.Harley,Lucy
GuideNames.Jack,Lucy
GuideNames.Jacob,Lucy
GuideNames.Jake,Lucy
GuideNames.Jan,Lucy
GuideNames.Jeff,Lucy
GuideNames.Jeffrey,Lucy
GuideNames.Joe,Lucy
GuideNames.Kevin,Lucy
GuideNames.Kyle,Lucy
GuideNames.Levi,Lucy
GuideNames.Logan,Lucy
GuideNames.Luke,Lucy
GuideNames.Marty,Lucy
GuideNames.Maxwell,Lucy
GuideNames.Ryan,Lucy
GuideNames.Scott,Lucy
GuideNames.Seth,Lucy
GuideNames.Steve,Lucy
GuideNames.Tanner,Lucy
GuideNames.Trent,Lucy
GuideNames.Wyatt,Lucy
GuideNames.Zach,Lucy
